FirstName,LastName,Historical_Win_Rate__c,Tenure_Months__c,email,External_ID__c,Account.External_ID__c
Maribel,Cicero,0.791,16,mcicero0@twitpic.com,50467c52-8aa7-4599-8ff9-da29f7e8a49d,1
Marge,Hayles,0.506,13,mhayles1@t.co,1b065394-aa6a-4acf-8d7e-bf88214d8eb9,1
Giuseppe,Ragborne,0.085,1,gragborne2@accuweather.com,173c4a99-a15c-47c6-a7bf-8feb2818fb0c,1
Corabella,Heigold,0.738,37,cheigold3@usa.gov,96177598-22f4-437e-a887-1149a345469d,1
Justus,MacIntosh,0.612,14,jmacintosh4@booking.com,4d9fd110-29be-4e2c-b44f-6e357d790472,1
Malory,Bourgourd,0.769,35,mbourgourd5@ftc.gov,2974450e-31e2-4b47-b00a-f266c6b0af44,1
Rudolfo,Hugin,0.102,29,rhugin6@reference.com,7ddfdf70-10b4-4026-8705-066cb1c9ea9f,1
Siusan,Mainstone,0.564,13,smainstone7@abc.net.au,bed17b7b-d710-45fc-9815-d1b9ee79d735,1
Collin,Bedingfield,0.085,1,cbedingfield8@nps.gov,0604ed68-52e9-4421-a0f2-bf2edded1c31,1
Wildon,Eighteen,0.82,47,weighteen9@stumbleupon.com,6a9c9b9d-12a1-4514-8906-bcaad926c491,1
Ofilia,Hazley,0.179,19,ohazleya@harvard.edu,8ac2ca17-5bc2-4150-a735-613c1a10bc0e,1
Ali,Pudding,0.391,39,apuddingb@wikispaces.com,06d74387-6eff-4ed0-ac04-bdd627aa2f62,1
Gilbert,Heber,0.378,11,gheberc@nytimes.com,bca1c594-2ae9-4043-8d6e-a719502b40b5,1
Babara,Moresby,0.736,4,bmoresbyd@foxnews.com,36d13d0d-15ae-47e4-a24c-ee186f323738,1
Edithe,Dufall,0.147,13,edufalle@hc360.com,3e7298c3-1439-473c-bb12-62b6d411bfdc,1
Lance,Guille,0.202,40,lguillef@google.com,55fc9406-413f-4dff-aafe-5788922995f6,1
Lian,Prinn,0.368,26,lprinng@issuu.com,c0413674-8fe0-4006-bc0b-ef40ccb0bb1d,1
